Stock,Date,Close
META,06-23-2015,$87.88
META,06-22-2015,$84.74
META,06-19-2015,$82.51
META,06-18-2015,$82.905
META,06-17-2015,$81.79
META,06-16-2015,$81.06
META,06-15-2015,$80.71
META,06-12-2015,$81.53
META,06-11-2015,$81.83
META,06-10-2015,$82.16
META,06-09-2015,$80.67
META,06-08-2015,$80.67
META,06-05-2015,$82.14
META,06-04-2015,$82.05
META,06-03-2015,$82.44
META,06-02-2015,$80.445
META,06-01-2015,$80.29
META,05-29-2015,$79.19
META,05-28-2015,$80.145
META,05-27-2015,$80.55
META,05-26-2015,$79.335
META,05-22-2015,$80.54
META,05-21-2015,$80.48
META,05-20-2015,$80.55
META,05-19-2015,$80.63
META,05-18-2015,$80.88
META,05-15-2015,$80.42
META,05-14-2015,$81.37
META,05-13-2015,$78.44
META,05-12-2015,$77.46
META,05-11-2015,$78.01
META,05-08-2015,$78.51
META,05-07-2015,$78.425
META,05-06-2015,$78.10
META,05-05-2015,$77.56
META,05-04-2015,$78.81
META,05-01-2015,$78.99
META,04-30-2015,$78.77
META,04-29-2015,$80.465
META,04-28-2015,$80.68
META,04-27-2015,$81.91
META,04-24-2015,$81.53
META,04-23-2015,$82.41
META,04-22-2015,$84.63
META,04-21-2015,$83.62
META,04-20-2015,$83.09
META,04-17-2015,$80.775
META,04-16-2015,$82.31
META,04-15-2015,$82.705
META,04-14-2015,$83.515
META,04-13-2015,$83.01
META,04-10-2015,$82.04
META,04-09-2015,$82.17
META,04-08-2015,$82.275
META,04-07-2015,$82.32
META,04-06-2015,$82.44
META,04-02-2015,$81.555
META,04-01-2015,$81.665
META,03-31-2015,$82.215
META,03-30-2015,$83.195
META,03-27-2015,$83.30
META,03-26-2015,$83.01
META,03-25-2015,$82.92
META,03-24-2015,$85.31
META,03-23-2015,$84.43
META,03-20-2015,$83.80
META,03-19-2015,$82.75
META,03-18-2015,$80.91
META,03-17-2015,$79.365
META,03-16-2015,$78.07
META,03-13-2015,$78.05
META,03-12-2015,$78.93
META,03-11-2015,$77.57
META,03-10-2015,$77.55
META,03-09-2015,$79.44
META,03-06-2015,$80.005
META,03-05-2015,$81.21
META,03-04-2015,$80.895
META,03-03-2015,$79.60
META,03-02-2015,$79.75
META,02-27-2015,$78.97
META,02-26-2015,$80.41
META,02-25-2015,$79.56
META,02-24-2015,$78.45
META,02-23-2015,$78.84
META,02-20-2015,$79.895
META,02-19-2015,$79.42
META,02-18-2015,$76.71
META,02-17-2015,$75.60
META,02-13-2015,$75.74
META,02-12-2015,$76.23
META,02-11-2015,$76.51
META,02-10-2015,$75.19
META,02-09-2015,$74.44
META,02-06-2015,$74.47
META,02-05-2015,$75.615
META,02-04-2015,$75.63
META,02-03-2015,$75.40
META,02-02-2015,$74.99
META,01-30-2015,$75.91
